"record_code","format_version","submission_date","reporting_agency","release_agency","coordinator","tag_code_or_release_id","tag_type","first_sequential_number","last_sequential_number","related_group_type","related_group_id","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"T",4.2,20110204,"USFWS","USFWS",7,"501040908",15,NA,NA,NA,NA,1,3,2007,20080310,20080310,"6FCSASAF RBDD","6FCSABAT CNFH","6FCSABAT CNFH","P","H","B","FR",1.59,55,"N",5000,24853,NA,NA,5000,769,NA,NA,"C",0.03,21,200,"","Stockton release group","SAC R RED BLUFF DIV DAM","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",24853,0,769,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"54391",12,NA,NA,NA,NA,1,3,2007,20080423,20080424,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",6.15,80,"N",5000,111161,NA,NA,0,333857,NA,NA,"C",NA,40,676,"","Resubmited2.21.14Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",111161,0,0,333857,0
"T",4.2,20090310,"USFWS","USFWS",7,"54395",12,NA,NA,NA,NA,1,3,2007,20080429,20080501,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",4.58,73,"N",5000,109247,NA,NA,0,327938,NA,NA,"C",NA,29,842,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",109247,0,0,327938,0
"T",4.2,20140604,"USFWS","USFWS",7,"54397",12,NA,NA,NA,NA,1,3,2007,20080602,20080605,"6MOSFSPB NET","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",7.48,83,"N",5000,109178,NA,NA,5000,1694,0,332891,"C",0.0153,42,851,"","Off site release - trucked to delta, Conoco Phillips Resub 6.4.14","SAN PABLO BAY NET PENS","COLEMAN NFH","COLEMAN NFH","CA","CECA","SFBA","N",109178,0,1694,332891,0
"T",4.2,20140221,"USFWS","USFWS",7,"54469",12,NA,NA,NA,NA,1,3,2007,20080429,20080501,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",4.71,75,"N",5000,224293,NA,NA,5000,270,0,674107,"C",0.0012,32,833,"","Resubmited2.21.14Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",224293,0,270,674107,0
"T",4.2,20140221,"USFWS","USFWS",7,"54470",12,NA,NA,NA,NA,1,3,2007,20080429,20080501,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",4.24,73,"N",5000,221255,NA,NA,5000,2373,0,671381,"C",0.0106,23,848,"","Resubmited2.21.14Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",221255,0,2373,671381,0
"T",4.2,20110216,"USFWS","USFWS",7,"54297",12,NA,NA,NA,NA,1,7,2008,20090106,20090106,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",26.52,127,"N",5000,56524,0,291,5000,1457,NA,NA,"C",0.025,157,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",56524,291,1457,0,0
"T",4.2,20110216,"USFWS","USFWS",7,"54887",12,NA,NA,NA,NA,1,3,2008,20090416,20090416,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",4.72,75,"N",5000,115967,NA,NA,0,348232,NA,NA,"C",0,23,428,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",115967,0,0,348232,0
"T",4.2,20140604,"USFWS","USFWS",7,"54870",12,NA,NA,NA,NA,1,3,2008,20090514,20090515,"6MOSFSPB NET","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",8.31,90,"N",5000,126145,NA,NA,0,378820,NA,NA,"C",0,31,408,"","Production resubmitted 6.4.14","SAN PABLO BAY NET PENS","COLEMAN NFH","COLEMAN NFH","CA","CECA","SFBA","N",126145,0,0,378820,0
"T",4.2,20140616,"USFWS","USFWS",7,"53991",12,NA,NA,NA,NA,1,7,2008,20090106,20090106,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",29.84,133,"N",5000,75186,NA,NA,5000,2325,NA,NA,"C",0.03,76,800,"","Production RESUB 6.4.14 and 6.16.14","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",75186,0,2325,0,0
